Age	Total number of children	Annual cost of education per child	Distance from school	Gender	Education Decision	Willingness to Sponsor	Incentive for schooling	Access to government universal basic education	Access to secondary education	Access to tertiary education	Parent Highest Education
6	4		0.9	0	1	1	0	1	1	1	55
23	3				1	1	0		0		
22	2		1	1	1	1	0	0	1	1	3
	3		1	0	1	1	0	1	1	1	4
	5	26,000	2	1	1	1	0	1	0	1	5
13	6		0.9	0	1	1	0	1	1	1	1
	5		2	0	1	1	0	0	0	0	5
	4	15,000	0.9	1	1	0	0	0	1	1	3
22	6	12000	1	0	1	1	0	0	0	1	5
31	3	5000	1	0	1	1	0	0	0	1	3
30	3				1	1					
34	4	20000	0	1	1	0	0	0	1	1	3
29	1	96,000	52	0	1	1	0	0	1	1	4
28	2		0.9	1	1	1	0	0	1	1	4
	2		0.8	1	1	1	1	0	1	1	3
	1	20,000	0.9	0	1	1	0	0	1	1	6
	1		1	1	1	1	0	1	1	1	6
26	2	20000	1	1	1	1	1	0	1	1	6
2	3	10000	1	0	1	1	0	0	1	1	4
23	3		1	0	1	1	0	1	1	1	5
	5		0.9		1	1	1	1	1	1	4
9	6	50,000			1	1	1		0	1	
29	5		2	1	1	1	0	1	1	1	2
19	3	23000	25		1	0	0			0	
18	4	2000	2	1	1	1	0	1	0	1	5
20	1	75,000	0.9	1	1	1	0	1	1	1	5
	1		1	0	1	1	0	0	1	1	1
10	4	10000	1	0	1	1	0	0	1	1	2
18	3				1	1					
18	3	1000	1	0	1	1	0	0		1	5
	3	65,000	5		1		1			0	1
22	5	15,000	0.8		1		1			0	1
20	5	1000	1	0	1	0	1	1	1	1	5
	5	40000	0.8		1		1		0	0	5
	3	17,500	0.9		1		0		0	0	
	4	20,000	1	1	1	1	0	0	1	1	1
15	4	490000	55	1	1	1	0	1	1	1	5
12	1	150000	23	1	1	0	0	0	1	0	1
28	3	120,000	12	1	1	1	0	1	1	1	5
22	6	50000	23	1	1	1	0	0	1	1	5
23	4	50,000	2	1	1	0	1	1	1	0	2
25	4	1200	2		1	1	0		0	0	
	3				1		0		0		
7	2	30,000	1	1	1	0	0	0	0	0	5
	3	16,000	2		1	0	0		1	1	3
	2	100,000	52	1	1	0	0	0	1	1	5
30	2	30000	30		1	0	0		0	1	1
	2	250000	30		1	0	0		0	1	1
24	3	100,000	25		1	0	0		0	1	1
	3		2	1	1	0	0	0	1	1	5
6	4	30000	25		1	0			1	1	4
15	4	50,000	1	1	1	1	0	1	1	1	5
	4		1	1	1	0	0	1	1	0	1
23	4	20000	1	1	1	0	1	1	1	1	5
27	2	30000	2		1	0			1	1	4
7	2		1	1	1	0	0	0	1	1	3
32	2	1200	2		1	0			1	1	2
18	3	30000	5	1	1	1	0	1	1	1	1
22	4	35000	50	1	1	1	0	0	0	0	5
25	4	25000	5	1	1	1	0	0	1	1	3
28	4	96,000	6	0	1	0	0	0	1	1	2
	3	15000	0.9	0	1	1	1	1	1	1	3
10	2	50,000	2	0	1	1	0	0	1	1	5
	3	50000	5		1		1		1	1	1
	4	9000	1	1	1	1	1	1	1	1	3
	5	30000	0.8	1	1	1	0	0	1	1	3
8	5	30,000	0.7	1	1	0	1	1	1	1	3
	3	100,000	25	1	1	1	1	1	1	0	3
30	4	30,000	70	1	1	1	1	1	1	1	3
32	4	180,000	0.9	1	1	0	0	1	1	1	3
25	3	5,000	5	1	1	1	1	1	1	1	6
24	4	100,000	50	0	0	1	1	1	1	1	5
28	2	1850	1	1	1	1	0	1	1	1	1
